,Fecha / Hora,ID,Comentario
108,2022-06-01 15:29:16+00:00,7170,Informe Control Ventas
109,2022-06-01 15:29:17+00:00,5140,Ceet Informe Acumulado Publicidad
110,2022-06-01 15:29:41+00:00,7112,Ceet Seguimiento Habituales Mayo 2022
111,2022-06-01 15:30:27+00:00,6629,Ceet Histórico Clientes Habituales
112,2022-06-01 15:31:03+00:00,7813,ETB CD Reporte Operación
113,2022-06-01 15:31:54+00:00,8074,Ach Informe Calidad Emitida Mayo 20220531
114,2022-06-01 15:34:48+00:00,7832,Sena - Reporte Satu video llamada
115,2022-06-01 15:40:41+00:00,2307,Informe Proyectos Comerciales de Mayo 2022
116,2022-06-01 15:47:20+00:00,6573,"Directv - Directv Tiempos Argentina, Ecuador, Recargas y UpRentabilidad Nomina ( Aspet)"
117,2022-06-01 15:47:52+00:00,6574,Directv - Directv Tiempos Ecuador Nomina ( Aspet)
118,2022-06-01 15:48:18+00:00,6043,Direc Tv Colombia K - Directv K Horas Conexion Validaciones
119,2022-06-01 15:48:47+00:00,6044,Direc Tv Colombia K - Directv K Horas Conexion Inbound Mayo
120,2022-06-01 15:49:10+00:00,7835,Sena - Redes Sociales
121,2022-06-01 15:50:34+00:00,5956,Publicación Enel Codensa Reporte Cartera Outbound
122,2022-06-01 15:51:58+00:00,7706,Publicación Banco Popular Templete Verificacion 2022
123,2022-06-01 15:51:58+00:00,7706,Publicación Banco Popular Templete Verificacion 2022
124,2022-06-01 15:52:21+00:00,8085,Casos abiertos Formulario Web
126,2022-06-01 15:54:47+00:00,5131,Ceet Informe Conversion Diario Mayo 2022
127,2022-06-01 15:55:15+00:00,7594,Reporte de Tipificaciones Sac
128,2022-06-01 16:05:00+00:00,7836,Sena - Transcript Chat
129,2022-06-01 16:05:03+00:00,5130,Ceet Informe Penetracion
130,2022-06-01 16:05:50+00:00,5831,BBVA - Bbva Empresas Soporte Remoto
131,2022-06-01 16:06:42+00:00,8067,Sena - Reporte Outbound Voz
132,2022-06-01 16:14:17+00:00,6621,Ceet Penetración Combos Mayo 2022
133,2022-06-01 16:15:38+00:00,7839,Sena - Reporte Outbound SMS interactivo -AGV
134,2022-06-01 16:16:23+00:00,7145,Ach Informe Back Plata Mayo 20220531
135,2022-06-01 16:17:53+00:00,7019,Messer Respuesta De Correos Pacientes
136,2022-06-01 16:18:16+00:00,7753,BANCO PICHINCHA Tipificación
137,2022-06-01 16:20:01+00:00,7113,Ceet Informe Gestion Activo
138,2022-06-01 16:20:28+00:00,7699,CEET Histórico Clasificados
139,2022-06-01 16:26:26+00:00,6573,"Directv - Directv Tiempos Argentina, Ecuador, Recargas y UpRentabilidad Nomina ( Aspet)"
140,2022-06-01 16:30:27+00:00,6442,Ach Informe Back Pse Mayo 20220531
141,2022-06-01 16:31:18+00:00,7814,ETB CD Satisfaccion_Web_DE
142,2022-06-01 16:35:19+00:00,7141,Ach Informe Chat Bot Mayo 20220531 Mensual
143,2022-06-01 16:36:56+00:00,5115,Direc Tv Colombia K - Directv K Informe De Tiempos Directv - Mayo
144,2022-06-01 16:40:56+00:00,7754,Davivienda Informe IGD
145,2022-06-01 16:40:56+00:00,7754,Davivienda Informe IGD
146,2022-06-01 16:41:22+00:00,7617,Wom Informe De Gestión
147,2022-06-01 16:42:11+00:00,7107,Acciona Movilidad - Tablero De Control Acciona Movilidad
148,2022-06-01 16:45:06+00:00,6443,Ach Informe Back Soi Mayo 20220531
149,2022-06-01 16:46:18+00:00,6579,Direc Tv Colombia K - Directv Actualizacion Base Antidesconexion Cartera (recupero) - Cobranzas - Mayo 2022
150,2022-06-01 16:49:24+00:00,6095,BBVA SAC - Bbva Empresas Seguimiento Diario Buzones
151,2022-06-01 16:49:43+00:00,5164,Conciliación CEET - Clasificados Mayo 2022
152,2022-06-01 16:49:49+00:00,7711,Publicacion Enel Codensa Retenciones Fonoreubicados
153,2022-06-01 16:50:13+00:00,7145,Ach Informe Back Plata Mayo 20220531 Mensual
154,2022-06-01 16:50:49+00:00,7709,Publicacion Enel Codensa Reporte Fidelizacion
155,2022-06-01 16:51:21+00:00,6775,Sena - Reporte Outbound Sms
156,2022-06-01 16:51:40+00:00,6254,Ceet - Resumen Retenciones
157,2022-06-01 16:53:00+00:00,8091,Publicacion Enel Codensa Reporte Fidelizacion segunda base
158,2022-06-01 16:53:56+00:00,7708,Publicacion Enel Codensa Inbound Y Chat
159,2022-06-01 16:56:09+00:00,6002,Publicacion Enel Codensa Reporte Retenciones Inbound
160,2022-06-01 16:57:50+00:00,6255,Ceet - Resumen Agente Retenciones
161,2022-06-01 16:59:18+00:00,7799,BBVA Seguros CDM Retenciones
162,2022-06-01 16:59:32+00:00,7560,Ceet - Resumen Retenciones Digital
163,2022-06-01 17:00:06+00:00,5932,Ach Desempeño Rotación Mayo 20220531
164,2022-06-01 17:00:55+00:00,7819,ETB CD Reporte Desempeño Diario
165,2022-06-01 17:01:58+00:00,7791,Ach Informe IVR Mayo 20220531
166,2022-06-01 17:04:53+00:00,6776,Sena - Reporte Outbound Email
167,2022-06-01 17:05:09+00:00,8092,Publicacion Enel Codensa Campaña Bienvenida
168,2022-06-01 17:06:41+00:00,6778,Sena - Factura
169,2022-06-01 17:08:23+00:00,6442,Ach Informe Back Pse Mayo 20220531 Mensual
170,2022-06-01 17:13:50+00:00,5403,BBVA - Bbva Empresas Informe Gerencial Empresas
171,2022-06-01 17:15:49+00:00,7708,Re:  Publicacion Enel Codensa Inbound Y Chat
172,2022-06-01 17:16:38+00:00,6257,Corte - Proyectos Comerciales - 12:00
173,2022-06-01 17:18:11+00:00,6443,Ach Informe Back Soi Mayo 20220531 Mensual
174,2022-06-01 17:25:57+00:00,7570,Shein - Metricas Operativas Pbi
175,2022-06-01 17:30:40+00:00,7143,Ach Informe Comparativo Horas Mayo 20220531
176,2022-06-01 17:31:18+00:00,7818,TCP Tablero Gerencial
177,2022-06-01 17:35:36+00:00,7779,BBVA - BBVA EMPRESAS Reporte Llamadas vs Tipificaciones
178,2022-06-01 17:36:05+00:00,8073,Messer Informe Ivr Opcion Sms
179,2022-06-01 17:37:31+00:00,6571,Cumplimiento Por Agente – Mayo 2022
180,2022-06-01 17:47:44+00:00,6773,Sena - Reporte Tipificación Inbound
181,2022-06-01 17:47:57+00:00,5138,Re:  Ceet Informe Acumulado Diario Mayo 2022
182,2022-06-01 17:47:59+00:00,7837,Sena - Reporte De Satisfacción Inbound
183,2022-06-01 17:48:22+00:00,5397,BBVA - Bbva Empresas Pse Capacitaciones
184,2022-06-01 17:53:55+00:00,6011,Ceet Clientes Reiterados Mayo 2022
185,2022-06-01 17:55:06+00:00,8027,Reporte App y Portal My Linde Corte 13:00
186,2022-06-01 17:59:06+00:00,7561,Ceet - Abandonos Retenciones Digital
187,2022-06-01 17:59:42+00:00,5157,Chilectra Tablero De Control
188,2022-06-01 18:03:22+00:00,6745,BBVA - Bbva Reporte Plan De Trabajo
189,2022-06-01 18:08:43+00:00,7780,BBVA - Bbva Chat Bot - Corte 4 Pm
190,2022-06-01 18:08:43+00:00,7780,BBVA - Bbva Chat Bot - Corte 4 Pm
191,2022-06-01 18:09:52+00:00,7639,Grabaciones Mayo
192,2022-06-01 18:12:55+00:00,6591,Bbva Seguros Cdm Front (Endosos -Inde -General)
193,2022-06-01 18:17:28+00:00,6778,Sena - Factura
194,2022-06-01 18:17:41+00:00,7143,Ach Seguimiento Horas Presupuesto Mayo 20220531
195,2022-06-01 18:22:44+00:00,7800,BBVA SEGUROS CDM Service Sale
196,2022-06-01 18:45:36+00:00,7940,Ceet Informe Ventas caídas - recuperadas
197,2022-06-01 18:49:30+00:00,6175,Directv K Descargue Ventas Rentabilidad Outbound
198,2022-06-01 18:52:20+00:00,6918,Banco Popular Kpis
199,2022-06-01 18:52:55+00:00,7723,Enel Codensa Kpis
200,2022-06-01 18:53:25+00:00,7713,Linde Kpis
201,2022-06-01 18:54:06+00:00,7820,ETB CD Estimado de Factura ETB Digital
202,2022-06-01 19:02:01+00:00,7815,ETB CD Reporte de Tiempos
203,2022-06-01 19:15:35+00:00,8075,Re:  Wom Migracion Kpis
204,2022-06-01 19:15:35+00:00,8075,Re:  Wom Migracion Kpis
205,2022-06-01 19:15:35+00:00,8075,Re:  Wom Migracion Kpis
206,2022-06-01 19:17:05+00:00,8075,Wom Migracion Kpis
207,2022-06-01 19:17:20+00:00,7618,Wom Kpis
208,2022-06-01 19:27:51+00:00,7823,Re:  Tablero de Control ETB Digital
209,2022-06-01 19:30:06+00:00,7823,Re:  Tablero de Control ETB Digital
210,2022-06-01 19:35:36+00:00,6532,Informe Bo
211,2022-06-01 19:36:15+00:00,7930,Informe Satisfacción
212,2022-06-01 19:37:41+00:00,7775,Factura Chilectra
213,2022-06-01 19:38:22+00:00,7760,Chilectra Informe Tráfico
214,2022-06-01 19:40:22+00:00,5594,Direc Tv Colombia K - Directv K Informe Cartera Inputs Mes Actual Mayo
215,2022-06-01 19:40:34+00:00,6097,BBVA SAC - Bbva Empresas Altas Vs Multicase
216,2022-06-01 19:41:12+00:00,8087,% Resolutividad
217,2022-06-01 19:49:44+00:00,7562,Ceet - Ausentismos Suscripciones
218,2022-06-01 19:50:02+00:00,8028,Banmedica - Tablero de Control Banmédica Mayo
219,2022-06-01 19:50:44+00:00,7736,Directv K Seguimiento de Tipificaciones Recargas Argentina
220,2022-06-01 19:50:59+00:00,7649,penalización satisfacción - SATU - Mayo
221,2022-06-01 19:53:29+00:00,7646,Segumiento Indicadores
222,2022-06-01 20:00:01+00:00,7823,Tablero de Control ETB Digital
223,2022-06-01 20:00:07+00:00,6274,Ceet - Metricas Kpis Presidencia
224,2022-06-01 20:00:08+00:00,7793,Medicarte Actualización Kpis Junio 20220531
225,2022-06-01 20:00:33+00:00,6874,Cruz Verde Actualización Kpi's Junio 20220531
226,2022-06-01 20:01:26+00:00,8061,Cruz Verde Tablero De Control Unificado Junio 20220531
227,2022-06-01 20:01:49+00:00,5174,Ach Desempeño Ach Junio 20220531
228,2022-06-01 20:02:55+00:00,7714,Publicacion Simple Codigos Detallados
229,2022-06-01 20:03:21+00:00,5311,Publicacion Nuevo Herald Codigos De Actividad Detallados
230,2022-06-01 20:04:57+00:00,7716,Publicación Linde Informe Preventa
231,2022-06-01 20:06:12+00:00,8028,Banmedica - Tablero de Control Banmédica Mayo
232,2022-06-01 20:07:05+00:00,7571,Shein - Tablero De Control
233,2022-06-01 20:15:43+00:00,8061,Cruz Verde Tablero De Control Unificado Mayo 20220531
234,2022-06-01 20:16:05+00:00,8012,Etb Cd Ausentismo
235,2022-06-01 20:25:56+00:00,6005,Publicacion Enel Codensa Tablero Control Con Adherencia al 31 de Mayo
236,2022-06-01 20:26:40+00:00,6917,Publicacion Banco Popular Tablero De Control Con Adherencia Al 31 de Mayo
237,2022-06-01 20:26:40+00:00,6917,Publicacion Banco Popular Tablero De Control Con Adherencia Al 31 de Mayo
238,2022-06-01 20:27:32+00:00,7715,Publicacion Linde Tablero de Control Con Adherencia AL 31 de mayo
239,2022-06-01 20:28:52+00:00,5408,BBVA - Bbva Empresas Tablero De Control Empresas
240,2022-06-01 20:29:04+00:00,7105,REPORTE KPI´s TIEMPO DIGITALES - Mayo (Gestión de bases Digital)
241,2022-06-01 20:29:34+00:00,7724,Publicación conexion bot TABLERO DE CONTROL CHAT BOT MAYO 2022
242,2022-06-01 20:30:57+00:00,7640,Informe conexión del Staff
243,2022-06-01 20:31:32+00:00,7717,Publicacion Enel Codensa Reporte 5-15 rutina
244,2022-06-01 20:33:28+00:00,6043,Direc Tv Colombia K - Directv K Horas Conexion Validaciones
245,2022-06-01 20:37:55+00:00,6234,Sodimac Ivr
246,2022-06-01 20:38:56+00:00,7689,Medicarte Tablero De Control Mayo 20220531
247,2022-06-01 20:42:48+00:00,7575,Shein - Indicadores Cmi
248,2022-06-01 20:43:05+00:00,6911,BBVA - Bbva Empresas Iti -adh-ausentismo
249,2022-06-01 20:43:58+00:00,6874,Cruz Verde Actualización Kpi's Mayo 20220531
250,2022-06-01 20:45:22+00:00,8080,Wom Migracion Informe Gestión
251,2022-06-01 20:47:27+00:00,7740,Directv K Informe Proyecto Aht Power Bi (Inplementacion De Informes Directv Colombia)
252,2022-06-01 20:48:35+00:00,5459,Bbva Seguros Cdm Buzones
253,2022-06-01 20:50:58+00:00,7459,BBVA - Reporte Irene Seguros
254,2022-06-01 20:54:32+00:00,7802,BBVA SEGUROS Cuadro Buzon Endosos
255,2022-06-01 20:56:54+00:00,7073,Liberty Tableros De Control
256,2022-06-01 20:58:25+00:00,7760,Re:  Chilectra Informe Tráfico
257,2022-06-01 20:59:29+00:00,7701,Ceet Informe de Tráfico Clasificados
258,2022-06-01 21:01:36+00:00,6909,Ach Informe Ausentismo Y Adherencia Junio 20220531
259,2022-06-01 21:02:52+00:00,7763,Liberty PBI Historico Indicadores
260,2022-06-01 21:05:48+00:00,7574,Shein - Informe Diario
261,2022-06-01 21:12:24+00:00,7695,Ceet - CEET Informe Llamadas No Efectivas Venta Opcional
262,2022-06-01 21:12:27+00:00,8030,Bbva Seguros Cdm Desempleo
263,2022-06-01 21:14:35+00:00,6910,BBVA - Bbva Empresas Incidencias
264,2022-06-01 21:17:10+00:00,7781,BBVA - BBVA EMPRESAS Reporte Gestion Backoffice
265,2022-06-01 21:22:55+00:00,7570,Shein - Metricas Operativas Pbi
266,2022-06-01 21:25:17+00:00,7764,Liberty Informe Digital
267,2022-06-01 21:27:10+00:00,7412,Informe redes sociales
268,2022-06-01 21:27:22+00:00,6909,Ach Informe Ausentismo Y Adherencia Mayo 20220531
269,2022-06-01 21:30:33+00:00,8078,Ach Informe Calidad Percibida Mayo 20220531
270,2022-06-01 21:33:33+00:00,8069,Wom Migracion Tablero De Control
271,2022-06-01 21:33:37+00:00,6739,BBVA - Bbva Seguimiento Cib
272,2022-06-01 21:35:05+00:00,7620,Wom Tablero De Control
273,2022-06-01 21:35:43+00:00,6891,Messer Tablero De Control
274,2022-06-01 21:36:46+00:00,8025,Publicacion Enel Codensa Dash Board Xcustomer
275,2022-06-01 21:37:33+00:00,7712,Publicacion Enel Codensa Dash Board Salesforce
276,2022-06-01 21:48:29+00:00,6570,Ceet - Flujo Renovaciones
277,2022-06-01 21:48:38+00:00,7768,Chilectra Desempeño
278,2022-06-01 21:49:02+00:00,7771,Davivienda Desempeño
279,2022-06-01 21:49:23+00:00,7064,Liberty Desempeño
280,2022-06-01 21:49:45+00:00,7770,Messer Desempeño
281,2022-06-01 21:50:07+00:00,7769,Pichincha Desempeño
282,2022-06-01 21:50:23+00:00,7619,Wom Desempeño
283,2022-06-01 21:55:50+00:00,6913,BBVA - Bbva Seguimiento Bei
284,2022-06-01 21:56:31+00:00,6913,BBVA - Bbva Seguimiento Bei
285,2022-06-01 21:58:27+00:00,6266,Ceet - Seguimiento _ Satu Etce Sac
286,2022-06-01 22:00:03+00:00,6902,Ach Habeas Data Mayo 20220531
287,2022-06-01 22:00:32+00:00,7142,Ach Informe Reiteratividad Mayo 20220531
288,2022-06-01 22:00:53+00:00,7864,Medicarte Sik Mayo 20220531
289,2022-06-01 22:01:14+00:00,6903,Ach Inventario Métricas - Sik Operacional Mayo 20220531
290,2022-06-01 22:01:33+00:00,7863,Medicarte Desempeño Mayo 20220531
291,2022-06-01 22:02:49+00:00,7772,Davivienda Sik
292,2022-06-01 22:05:12+00:00,6920,Chilectra Sik
293,2022-06-01 22:10:17+00:00,7790,Ach Cargue Pronósticos Junio 20220531
294,2022-06-01 22:10:41+00:00,7065,Liberty Datos De La Sik
295,2022-06-01 22:11:04+00:00,7866,Wom Sik
296,2022-06-01 22:13:58+00:00,7774,Pichincha Sik
297,2022-06-01 22:14:15+00:00,7773,Messer Sik
298,2022-06-01 22:17:53+00:00,5462,Bbva Seguros Tablero De Control Seguros Front
299,2022-06-01 22:19:16+00:00,5463,Bbva Seguros Tablero De Control Seguros Back
300,2022-06-01 22:31:44+00:00,8072,Ach Informe Mc Mayo 20220531
301,2022-06-01 22:40:05+00:00,6590,Direc Tv Colombia K - Directv K Tablero De Control Argentina
302,2022-06-01 22:40:37+00:00,6589,Direc Tv Colombia K - Directv K Tablero De Control Ecuador
303,2022-06-01 22:41:09+00:00,6046,Direc Tv Colombia K - Directv K Tablero De Control Inbound
304,2022-06-01 22:41:40+00:00,6040,Direc Tv Colombia K - Directv K Tablero De Control Validaciones
305,2022-06-01 22:42:21+00:00,6033,Direc Tv Colombia K - Directv K Tablero De Control Cartera - Premium - Rentabilidad - Tableros de Control - Mayo
306,2022-06-01 22:42:56+00:00,6097,BBVA SAC - Bbva Empresas Altas Vs Multicase
307,2022-06-01 22:43:18+00:00,6097,Recuperar:  BBVA SAC - Bbva Empresas Altas Vs Multicase
308,2022-06-01 22:51:30+00:00,8090,"Shein - Conciliacion Horas Y Tickets (chile, Mexico, Brasil Y Marruecos)"
309,2022-06-01 22:55:35+00:00,6569,Flujos Campaña CEET Nuevas – Mayo
310,2022-06-01 22:59:39+00:00,6781,Sena - Tablero De Control
311,2022-06-01 22:59:58+00:00,6779,Sena - Reporte Ausentismo
312,2022-06-01 23:00:15+00:00,7842,Sena - Informe Financiero
313,2022-06-01 23:00:20+00:00,8057,Iberia Reporte Ausentismo
314,2022-06-01 23:00:45+00:00,8056,Tablero de Control Iberia - Mayo
315,2022-06-01 23:00:46+00:00,7851,Iberdrola Tablero de Control
316,2022-06-01 23:02:00+00:00,6097,BBVA SAC - Bbva Empresas Altas Vs Multicase
317,2022-06-01 23:07:05+00:00,7079,BBVA - Reporte Premium Reiterado
318,2022-06-01 23:16:15+00:00,6276,Corte - Proyectos Comerciales - 18:00
319,2022-06-01 23:28:04+00:00,7785,BBVA - BBVA EMPRESAS Cuadro Adquirencias
320,2022-06-01 23:31:10+00:00,8092,RE:  Publicacion Enel Codensa Campaña Bienvenida
321,2022-06-01 23:32:17+00:00,8074,Ach Informe Calidad Emitida Mayo 20220531 Mensual
322,2022-06-01 23:46:39+00:00,7784,BBVA - BBVA EMPRESAS Historico Multicase
323,2022-06-02 00:03:04+00:00,6095,RE:  BBVA SAC - Bbva Empresas Seguimiento Diario Buzones
324,2022-06-02 00:11:42+00:00,7791,Ach Informe IVR Mayo 20220531 Mensual
325,2022-06-02 00:16:42+00:00,8093,BBVA - Bbva Empresas Historico Spc Multicase
326,2022-06-02 00:24:58+00:00,6033,Direc Tv Colombia K - Directv K Tablero De Control Cartera - Premium - Rentabilidad - Tableros de Control - Mayo
327,2022-06-02 00:29:54+00:00,7789,BBVA - BBVA EMPRESAS Bbva Empresas Plantilla Oficinas
329,2022-06-02 10:57:56+00:00,5932,Ach Desempeño Rotación Mayo 20220531 Mensual
330,2022-06-02 11:27:15+00:00,7865,Messer Consolidado Correos
